"graphname", "0", "0.8", "0.85", "0.90", "0.95"
douban,327162,180019,154247,124973,74337
gowalla,950327,521072,458070,364904,235290
epinions,100120,60984,54560,43741,25733
wiki-Talk,360767,256136,237457,206483,148234
enron-large,180811,109608,98842,82038,52402
citeseer,814134,332292,260387,209776,122384
HepPh,117619,82419,73760,63978,42648
